"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","IB.| B_01",1,0,999
"14","IB.| B_02",1,0,999
"15","IB.| B_03",1,0,999
"16","IB.| B_04",1,0,999
"17","IB.| B_05",1,0,999
"18","IB.| B_06",1,0,999
"19","SB.| B_01",0,0,999
"20","SB.| B_02",2,0,999
"21","SB.| B_03",4,0,999
"22","SB.| B_04",6,0,999
"23","SB.| B_05",8,0,999
"24","SB.| B_06",10,0,999
"25","A_02.ON A_01",0.041,0.008,0
"26","A_02.ON B_01",0.053,0.019,0.005
"27","A_03.ON A_02",0.096,0.012,0
"28","A_03.ON B_02",0.053,0.019,0.005
"29","A_04.ON A_03",0.117,0.018,0
"30","A_04.ON B_03",0.053,0.019,0.005
"31","A_05.ON A_04",0.188,0.025,0
"32","A_05.ON B_04",0.053,0.019,0.005
"33","A_06.ON A_05",0.238,0.032,0
"34","A_06.ON B_05",0.053,0.019,0.005
"35","B_02.ON B_01",0.062,0.043,0.146
"36","B_02.ON A_01",-0.009,0.014,0.512
"37","B_03.ON B_02",0.062,0.043,0.146
"38","B_03.ON A_02",-0.006,0.011,0.568
"39","B_04.ON B_03",0.062,0.043,0.146
"40","B_04.ON A_03",-0.002,0.011,0.885
"41","B_05.ON B_04",0.062,0.043,0.146
"42","B_05.ON A_04",-0.003,0.014,0.842
"43","B_06.ON B_05",0.062,0.043,0.146
"44","B_06.ON A_05",-0.001,0.019,0.965
"45","SA.WITH IA",-0.005,0.002,0.013
"46","IB.WITH IA",0.03,0.013,0.018
"47","IB.WITH SA",0.003,0.002,0.039
"48","SB.WITH IA",0.003,0.002,0.066
"49","SB.WITH SA",0,0,0.86
"50","SB.WITH IB",-0.009,0.003,0.001
"51","A_01.WITH B_01",0.004,0.014,0.786
"52","Means IA",8.52,0.011,0
"53","Means SA",-0.272,0.028,0
"54","Means IB",3.386,0.02,0
"55","Means SB",-0.059,0.024,0.012
"56","Intercepts A_01",0,0,999
"57","Intercepts A_02",0,0,999
"58","Intercepts A_03",0,0,999
"59","Intercepts A_04",0,0,999
"60","Intercepts A_05",0,0,999
"61","Intercepts A_06",0,0,999
"62","Intercepts B_01",0,0,999
"63","Intercepts B_02",0,0,999
"64","Intercepts B_03",0,0,999
"65","Intercepts B_04",0,0,999
"66","Intercepts B_05",0,0,999
"67","Intercepts B_06",0,0,999
"68","Variances IA",0.312,0.023,0
"69","Variances SA",0.004,0.001,0
"70","Variances IB",0.357,0.032,0
"71","Variances SB",0.002,0.001,0
"72","Residual.Variances A_01",0.292,0.014,0
"73","Residual.Variances A_02",0.353,0.015,0
"74","Residual.Variances A_03",0.424,0.017,0
"75","Residual.Variances A_04",0.692,0.029,0
"76","Residual.Variances A_05",0.659,0.033,0
"77","Residual.Variances A_06",0.836,0.045,0
"78","Residual.Variances B_01",0.239,0.036,0
"79","Residual.Variances B_02",0.148,0.015,0
"80","Residual.Variances B_03",0.229,0.018,0
"81","Residual.Variances B_04",0.256,0.015,0
"82","Residual.Variances B_05",0.301,0.023,0
"83","Residual.Variances B_06",0.341,0.031,0
